date,notes
2022-05-01,n/a
2022-05-02,n/a
2022-05-03,n/a
2022-05-04,n/a
2022-05-05,n/a
2022-05-06,n/a
2022-05-07,n/a
2022-05-08,n/a
2022-05-09,n/a
2022-05-10,n/a
2022-05-11,n/a
2022-05-12,n/a
2022-05-13,n/a
2022-05-14,n/a
2022-05-15,n/a
2022-05-16,n/a
2022-05-17,n/a
2022-05-18,n/a
2022-05-19,n/a
2022-05-20,n/a
2022-05-21,n/a
2022-05-22,n/a
2022-05-23,n/a
2022-05-24,n/a
2022-05-25,n/a
2022-05-26,n/a
2022-05-27,n/a
2022-05-28,n/a
2022-05-29,n/a
2022-05-30,n/a
2022-05-31,n/a
2022-06-01,n/a
2022-06-02,n/a
2022-06-03,n/a
2022-06-04,n/a
2022-06-05,n/a
2022-06-06,n/a
2022-06-07,n/a
2022-06-08,"cloudy, rain, foggy"
2022-06-09,foggy
2022-06-10,sun
2022-06-11,"cloudy, sun"
2022-06-12,"sun, fog"
2022-06-13,"fog, rain"
2022-06-14,"sun, cloudy"
2022-06-15,sun
2022-06-16,"sun, cloudy"
2022-06-17,"foggy, rain"
2022-06-18,"some fog, sun"
2022-06-19,"some fog, rain"
2022-06-20,"sun, cloudy"
2022-06-21,sun
2022-06-22,sun
2022-06-23,"sun, cloudy"
2022-06-24,sun
2022-06-25,"fog, sun"
2022-06-26,"sun, cloudy"
2022-06-27,no data
2022-06-28,"sun, fog"
2022-06-29,sun
2022-06-30,sun
2022-07-01,cloudy
2022-07-02,"cloudy, foggy"
2022-07-03,"cloudy, sun"
2022-07-04,sun
2022-07-05,"sun, cloudy"
2022-07-06,sun
2022-07-07,sun
2022-07-08,"sun, cloudy"
2022-07-09,sun
2022-07-10,sun
2022-07-11,"sun, cloudy"
2022-07-12,sun
2022-07-13,sun
2022-07-14,"cloudy, rain"
2022-07-15,sun
2022-07-16,cloudy
2022-07-17,"cloudy, foggy"
2022-07-18,foggy
2022-07-19,"foggy, sun"
2022-07-20,cloudy
2022-07-21,foggy
2022-07-22,sun
2022-07-23,"foggy, sun"
2022-07-24,"foggy, sun"
2022-07-25,fog
2022-07-26,sun
2022-07-27,sun
2022-07-28,sun
2022-07-29,"cloudy, sun"
2022-07-30,"cloudy, sun"
2022-07-31,sun
2022-08-01,cloudy
2022-08-02,"cloudy, sun"
2022-08-03,"cloudy, sun"
2022-08-04,sun
2022-08-05,"cloudy, foggy"
2022-08-06,"foggy, sun"
2022-08-07,"foggy, sun"
2022-08-08,"foggy, cloudy"
2022-08-09,foggy cloudy
2022-08-10,cloudy
2022-08-11,cloudy
2022-08-12,"cloudy, sun"
2022-08-13,cloudy
2022-08-14,cloudy sun
2022-08-15,sun
2022-08-16,"sun, cloudy"
2022-08-17,"cloudy, foggy, rain"
2022-08-18,cloudy
2022-08-19,"cloudy, sun"
2022-08-20,sun
2022-08-21,"sun, fog"
2022-08-22,fog
2022-08-23,fog
2022-08-24,fog
2022-08-25,"sun, fog"
2022-08-26,"fog, cloudy"
2022-08-27,fog
2022-08-28,sun
2022-08-29,sun