day_date,notes
2023-05-01,
2023-05-02,
2023-05-03,
2023-05-04,
2023-05-05,
2023-05-06,
2023-05-07,
2023-05-08,
2023-05-09,
2023-05-10,
2023-05-11,
2023-05-12,
2023-05-13,
2023-05-14,
2023-05-15,
2023-05-16,
2023-05-17,
2023-05-18,
2023-05-19,
2023-05-20,
2023-05-21,
2023-05-22,
2023-05-23,
2023-05-24,
2023-05-25,
2023-05-26,
2023-05-27,
2023-05-28,
2023-05-29,
2023-05-30,
2023-05-31,
2023-06-01,
2023-06-02,
2023-06-03,
2023-06-04,
2023-06-05,
2023-06-06,
2023-06-07,
2023-06-08,
2023-06-09,
2023-06-10,
2023-06-11,
2023-06-12,
2023-06-13,
2023-06-14,"cloudy, foggy"
2023-06-15,"cloudy, foggy"
2023-06-16,"cloudy, foggy"
2023-06-17,foggy
2023-06-18,"coudy, foggy"
2023-06-19,cloudy
2023-06-20,cloudy
2023-06-21,"sun, foggy"
2023-06-22,"foggy, sun"
2023-06-23,"foogy, cloudy"
2023-06-24,foggy
2023-06-25,foggy
2023-06-26,foggy
2023-06-27,foggy
2023-06-28,foggy
2023-06-29,foggy
2023-06-30,foggy
2023-07-01,foggy
2023-07-02,foggy
2023-07-03,foggy
2023-07-04,foggy
2023-07-05,foggy
2023-07-06,foggy
2023-07-07,foggy
2023-07-08,foggy
2023-07-09,foggy
2023-07-10,foggy
2023-07-11,foggy
2023-07-12,foggy
2023-07-13,foggy
2023-07-14,foggy
2023-07-15,foggy
2023-07-16,foggy
2023-07-17,foggy
2023-07-18,foggy
2023-07-19,foggy
2023-07-20,foggy
2023-07-21,foggy
2023-07-22,foggy
2023-07-23,foggy
2023-07-24,foggy
2023-07-25,foggy
2023-07-26,foggy
2023-07-27,foggy
2023-07-28,foggy
2023-07-29,foggy
2023-07-30,foggy
2023-07-31,foggy
2023-08-01,foggy
2023-08-02,foggy
2023-08-03,foggy
2023-08-04,foggy
2023-08-05,foggy
2023-08-06,foggy
2023-08-07,"cloudy, foggy"
2023-08-08,"cloudy, foggy, rain"
2023-08-09,"cloudy, foggy, sun"
2023-08-10,"cloudy, foggy, sun"
2023-08-11,"cloudy, sun"
2023-08-12,sun
2023-08-13,"foggy, rain, cloudy"
2023-08-14,"foggy, sun"
2023-08-15,"rain, cloudy, foggy"
2023-08-16,foggy
2023-08-17,"foggy, cloudy, sun"
2023-08-18,foggy
2023-08-19,sun
2023-08-20,"sun, cloudy"
2023-08-21,"foggy, cloudy, sun"